t,i
0,167.79
0.011,166.5
0.021,165.57
0.032,166.1
0.042,165.82
0.053,166.63
0.063,166.15
0.074,165.35
0.085,165.56
0.095,166.41
0.106,165.06
0.116,166.16
0.127,165.92
0.138,165.49
0.148,165.98
0.159,166.48
0.169,166.44
0.18,165.63
0.19,166.37
0.201,165.74
0.212,166.69
0.222,166.25
0.233,167.12
0.243,166.02
0.254,166.1
0.264,166.09
0.275,166.4
0.286,166.33
0.296,165.99
0.307,166.18
0.317,166.56
0.328,165.64
0.338,165.75
0.349,166.24
0.36,166.59
0.37,166.8
0.381,166.56
0.391,166.54
0.402,166.29
0.413,166.48
0.423,166.35
0.434,165.88
0.444,166.45
0.455,166.36
0.465,165.84
0.476,165.54
0.487,166.73
0.497,165.91
0.508,165.41
0.518,166.28
0.529,165.59
0.539,165.33
0.55,166.67
0.561,165.97
0.571,165.89
0.582,165.7
0.592,165.66
0.603,166.12
0.614,166.16
0.624,165.5
0.635,165.67
0.645,166.26
0.656,166.17
0.666,167.04
0.677,166.92
0.688,166.76
0.698,166.29
0.709,166.42
0.719,166.25
0.73,166.25
0.74,166.29
0.751,166.53
0.762,166.52
0.772,166.18
0.783,166.29
0.793,165.5
0.804,166.42
0.815,166.36
0.825,166.63
0.836,167.01
0.846,166.5
0.857,166.28
0.867,165.88
0.878,165.49
0.889,166.07
0.899,165.24
0.91,165.04
0.92,165.83
0.931,165.34
0.941,165.84
0.952,165.65
0.963,165.46
0.973,165.26
0.984,165.5
0.994,165.2
1.005,165.75
1.015,165.44
1.026,165.88
1.037,165.75
1.047,165.66
1.058,165.96
1.068,165.37
1.079,165.76
1.09,165.44
1.1,165.97
1.111,165.95
1.121,166.41
1.132,165.71
1.142,165.57
1.153,165.52
1.164,165.02
1.174,165.91
1.185,166.14
1.195,165.26
1.206,165.13
1.216,165.59
1.227,165.66
1.238,165.49
1.248,166.13
1.259,165.6
1.269,165.84
1.28,165.66
1.291,165.29
1.301,166.07
1.312,165.33
1.322,166.01
1.333,165.35
1.343,165.25
1.354,165.17
1.365,165.38
1.375,165
1.386,164.81
1.396,165.22
1.407,165.38
1.417,165.73
1.428,165.81
1.439,165.32
1.449,165.26
1.46,165.76
1.47,165.55
1.481,165.97
1.491,165.07
1.502,165.93
1.513,166.49
1.523,166.02
1.534,165.88
1.544,165.15
1.555,165.36
1.566,165.37
1.576,164.88
1.587,165.46
1.597,165.51
1.608,165.03
1.618,165.7
1.629,164.81
1.64,165.56
1.65,164.64
1.661,165.73
1.671,165.77
1.682,166.01
1.692,165.87
1.703,165.68
1.714,165.64
1.724,165.85
1.735,166.13
1.745,166.36
1.756,166.25
1.767,165.84
1.777,165.12
1.788,165.23
1.798,165.66
1.809,165.23
1.819,165.91
1.83,166.27
1.841,165.61
1.851,165.37
1.862,165.93
1.872,165.95
1.883,165.24
1.893,165.57
1.904,165.24
1.915,165.27
1.925,166.63
1.936,166.48
1.946,166.43
1.957,165.59
1.968,165.5
1.978,164.92
1.989,165.19
1.999,164.77
2.01,164.7
2.02,164.4
2.031,165.17
2.042,165.1
2.052,164.99
2.063,165.3
2.073,164.75
2.084,165.2
2.094,165.12
2.105,163.87
2.116,164.18
2.126,164.95
2.137,164.11
2.147,163.69
2.158,164.26
2.168,164.45
2.179,164.87
2.19,164.96
2.2,165.73
2.211,164.65
2.221,164.51
2.232,164.59
2.243,163.81
2.253,165.22
2.264,164.66
2.274,164.31
2.285,164.85
2.295,165.34
2.306,165.04
2.317,164.86
2.327,164.6
2.338,164.88
2.348,164.43
2.359,165.39
2.369,165.16
2.38,165.4
2.391,165.67
2.401,165.38
2.412,164.22
2.422,164.34
2.433,164.41
2.444,164.74
2.454,164.67
2.465,164.19
2.475,164.43
2.486,164.71
2.496,164.68
2.507,164.48
2.518,164.33
2.528,164.37
2.539,164.15
2.549,164.94
2.56,164.61
2.57,164.55
2.581,165.35
2.592,163.96
2.602,164.92
2.613,164.75
2.623,164.05
2.634,163.61
2.644,164.86
2.655,165.78
2.666,165.08
2.676,165.14
2.687,164.73
2.697,164.83
2.708,164.43
2.719,165.41
2.729,165.21
2.74,164.74
2.75,165.02
2.761,165.19
2.771,164.7
2.782,165.69
2.793,165.72
