t,i
0,170.88
0.011,170.01
0.021,170.43
0.032,169.82
0.042,170.22
0.053,170.61
0.063,169.32
0.074,169.35
0.085,169.81
0.095,168.91
0.106,169.55
0.116,169.66
0.127,170.27
0.138,170.77
0.148,169.93
0.159,170.22
0.169,169.66
0.18,169.86
0.19,170.05
0.201,173.55
0.212,175.41
0.222,177.92
0.233,178.83
0.243,180.28
0.254,181.54
0.264,182.26
0.275,181.62
0.286,182.12
0.296,181.39
0.307,181.25
0.317,181.45
0.328,180.87
0.338,180.79
0.349,179.23
0.36,178.84
0.37,178.34
0.381,177.75
0.391,176.79
0.402,176.03
0.413,175.42
0.423,174.96
0.434,174.58
0.444,174.22
0.455,173.76
0.465,173.43
0.476,173.28
0.487,172.66
0.497,172.09
0.508,171.55
0.518,172.87
0.529,172.17
0.539,171.52
0.55,171.37
0.561,171.12
0.571,170.46
0.582,170.57
0.592,170.99
0.603,170.43
0.614,170.45
0.624,170.41
0.635,169.59
0.645,169.56
0.656,169.9
0.666,169.99
0.677,170.39
0.688,169.46
0.698,169.81
0.709,169.44
0.719,170.01
0.73,169.25
0.74,169.99
0.751,169.67
0.762,170.01
0.772,170.31
0.783,169.84
0.793,170.16
0.804,169.98
0.815,169.67
0.825,169.72
0.836,169.17
0.846,169.11
0.857,169.84
0.867,170.2
0.878,170.52
0.889,169.9
0.899,170.52
0.91,169.67
0.92,169.88
0.931,169.6
0.941,170.87
0.952,171.03
0.963,169.84
0.973,169.75
0.984,170.21
0.994,170.03
1.005,169.95
1.015,169.28
1.026,169.87
1.037,169.19
1.047,170.66
1.058,170.41
1.068,170.73
1.079,170.62
1.09,170.67
1.1,171.06
1.111,170.59
1.121,171.18
1.132,170.52
1.142,171.69
1.153,174.02
1.164,177.27
1.174,178.66
1.185,180.65
1.195,182.69
1.206,182.27
1.216,182.85
1.227,182.38
1.238,181.75
1.248,181.86
1.259,181.25
1.269,181.06
1.28,181.07
1.291,179.45
1.301,179.47
1.312,178.32
1.322,177.86
1.333,177.11
1.343,175.67
1.354,175.96
1.365,175.52
1.375,175.62
1.386,175.27
1.396,173.8
1.407,172.82
1.417,172.77
1.428,171.88
1.439,172.16
1.449,171.94
1.46,171.73
1.47,171.81
1.481,171.3
1.491,171.46
1.502,171.63
1.513,171.57
1.523,171.46
1.534,171.41
1.544,171.14
1.555,170.31
1.566,170.26
1.576,170.45
1.587,170.93
1.597,170.71
1.608,170.24
1.618,169.95
1.629,169.82
1.64,169.68
1.65,169.53
1.661,169.67
