t,i
0,159.37
0.011,158.49
0.021,158.23
0.032,158.59
0.042,158.65
0.053,157.78
0.063,158.37
0.074,157.86
0.085,157.99
0.095,158.04
0.106,158.36
0.116,158.46
0.127,158.06
0.138,158.27
0.148,158.64
0.159,157.79
0.169,158.73
0.18,158.73
0.19,158.71
0.201,159.11
0.212,158.18
0.222,157.38
0.233,157.34
0.243,156.96
0.254,157.6
0.264,160.3
0.275,162.53
0.286,164.18
0.296,164.99
0.307,165.33
0.317,164.89
0.328,164.88
0.338,163.95
0.349,163.94
0.36,163.69
0.37,162.62
0.381,163.1
0.391,162.53
0.402,162.15
0.413,162.18
0.423,161.53
0.434,161.49
0.444,161.26
0.455,161.23
0.465,160.69
0.476,160.86
0.487,160.7
0.497,161.44
0.508,160.84
0.518,160.55
0.529,159.57
0.539,160.31
0.55,160.21
0.561,160.06
0.571,159.66
0.582,159.3
0.592,159.77
0.603,159.34
0.614,158.98
0.624,159.17
0.635,159.94
0.645,159
0.656,158.82
0.666,158.66
0.677,158.5
0.688,158.66
0.698,158.6
0.709,157.88
0.719,158.6
0.73,158.23
0.74,158.31
0.751,158.43
0.762,157.74
0.772,157.19
0.783,157.47
0.793,157.6
0.804,158.02
0.815,157.82
0.825,156.63
0.836,156.95
0.846,157.41
0.857,157.39
0.867,157.28
0.878,157.26
0.889,157.65
0.899,157.93
0.91,157.36
0.92,157.55
0.931,157.54
0.941,157.36
0.952,157.97
0.963,158.24
0.973,158.36
0.984,158.32
0.994,158.16
1.005,158.01
1.015,158.5
1.026,157.68
1.037,157.61
1.047,157.33
1.058,157.46
1.068,157.56
1.079,157.93
1.09,158.59
1.1,158.15
1.111,158.6
1.121,158.36
1.132,157.88
1.142,157.97
1.153,157.72
1.164,158.17
1.174,158.01
1.185,158.19
1.195,158.6
1.206,157.96
1.216,160.62
1.227,162.95
1.238,163.29
1.248,164.43
1.259,164.02
1.269,164.18
1.28,163.22
1.291,163.38
1.301,163.3
1.312,162.86
1.322,162.62
1.333,162.2
1.343,161.92
1.354,161.81
1.365,161.83
1.375,161.26
1.386,161.16
1.396,161.29
1.407,160.34
1.417,160.64
1.428,160.11
1.439,160.6
1.449,160.61
1.46,160.13
1.47,160.75
1.481,160.09
1.491,159.81
1.502,159.44
1.513,159.88
1.523,159.94
1.534,159.35
1.544,158.97
1.555,158.91
1.566,159.15
1.576,159.46
1.587,158.95
1.597,158.52
1.608,158.43
1.618,158.81
1.629,158.48
1.64,158.85
1.65,158.17
1.661,158.1
1.671,158.43
1.682,158.14
1.692,158.27
1.703,158.35
1.714,158.72
